Dataset:	strand	CoEE_false	CoEE_true	DAEE_false	DAEE_true	p_val
ADULT_ARN	opposite	0.88340191	-1.77162219	-0.96219384	1.9296358	0.00342056
ADULT_ARN	same	0.20422017	-1.31552982	-0.22243487	1.43286387	0.04901321
ADULT_DRN	opposite	0.66563686	-1.36322477	-0.74612269	1.52805981	0.02267647
ADULT_DRN	same	0.1282382	-0.8250602	-0.1437441	0.9248228	0.2097532
P15_DRN	opposite	0.77012319	-1.54942958	-0.8080185	1.62567207	0.01214536
P15_DRN	same	0.1178958	-0.7644111	-0.1236971	0.8020254	0.2622635
ADULT_LIVER	opposite	0.3634298	-0.75833	-0.4748108	0.9907369	0.1665029
ADULT_LIVER	same	0.15953145	-1.06045425	-0.20842337	1.38545376	0.07767283
ADULT_MUSCLE	opposite	1.095081509	-2.330727229	-0.862219292	1.835112696	0.001046998
ADULT_MUSCLE	same	0.08978128	-0.71656483	-0.07068985	0.56419181	0.35801753
