CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	count_fdr_0p1	pctile_fdr_0p1	z_score	ens_version	status
1	ENSG00000228794	LINC01128	825137	859446	133	24	0.180451128	0.321968915	8	autosome
1	ENSG00000223764	RP11-54O7.3	916869	919692	173	44	0.25433526	0.808533838	2	autosome
1	ENSG00000188976	NOC2L	944581	959309	179	18	0.100558659	-0.204163986	10	autosome
1	ENSG00000187961	KLHL17	960586	965715	160	9	0.05625	-0.495959243	13	autosome
1	ENSG00000187583	PLEKHN1	966496	975108	194	6	0.030927835	-0.662718693	10	autosome
1	ENSG00000131591	C1orf159	1081817	1116361	215	10	0.046511628	-0.560091421	17	autosome
1	ENSG00000272141	RP11-465B22.8	1169356	1170343	103	1	0.009708738	-0.802457336	1	autosome
1	ENSG00000078808	SDF4	1216907	1232031	218	24	0.110091743	-0.141383737	16	autosome
1	ENSG00000162576	MXRA8	1352688	1361777	105	52	0.495238095	2.395002622	16	autosome
1	ENSG00000221978	CCNL2	1386481	1399328	106	6	0.056603774	-0.493629463	11	autosome
1	ENSG00000224870	RP4-758J18.2	1399521	1401907	52	1	0.019230769	-0.739749874	6	autosome
1	ENSG00000197785	ATAD3A	1512150	1534687	230	7	0.030434783	-0.665965697	13	autosome
1	ENSG00000272106	RP11-345P4.9	1613757	1615795	169	13	0.076923077	-0.359816424	1	autosome
1	ENSG00000248333	CDK11B	1635263	1659012	161	10	0.062111801	-0.457356274	8	autosome
1	ENSG00000189339	SLC35E2B	1659528	1692728	238	38	0.159663866	0.185074126	11	autosome
1	ENSG00000269737	RP11-345P4.6	1671989	1674397	145	3	0.020689655	-0.730142361	2	autosome
1	ENSG00000008128	CDK11A	1702729	1724324	150	20	0.133333333	0.01167406	22	autosome
1	ENSG00000227775	RP1-283E3.4	1724511	1737251	196	58	0.295918367	1.082379937	3	autosome
1	ENSG00000215790	SLC35E2	1724837	1745992	196	57	0.290816327	1.04878038	6	autosome
1	ENSG00000008130	NADK	1751231	1780457	202	42	0.207920792	0.502870749	15	autosome
1	ENSG00000078369	GNB1	1785284	1891117	179	7	0.039106145	-0.608860324	17	autosome
1	ENSG00000067606	PRKCZ	2050469	2175313	211	32	0.151658768	0.132356449	16	autosome
1	ENSG00000182873	PRKCZ-AS1	2181793	2184389	129	7	0.054263566	-0.509040931	5	autosome
1	ENSG00000162585	FAAP20	2184460	2212720	224	10	0.044642857	-0.572398235	16	autosome
1	ENSG00000157933	SKI	2228694	2310119	248	26	0.10483871	-0.175977658	9	autosome
1	ENSG00000116151	MORN1	2321252	2391707	273	29	0.106227106	-0.166834354	13	autosome
1	ENSG00000269896	RP4-740C4.5	2350413	2352820	218	22	0.100917431	-0.201801289	2	autosome
1	ENSG00000157916	RER1	2391774	2403963	248	6	0.024193548	-0.707067426	19	autosome
1	ENSG00000157911	PEX10	2405444	2413797	200	8	0.04	-0.602973832	9	autosome
1	ENSG00000149527	PLCH2	2425979	2505526	208	57	0.274038462	0.93828953	17	autosome
1	ENSG00000157881	PANK4	2508532	2526628	192	7	0.036458333	-0.626297524	13	autosome
1	ENSG00000272449	RP3-395M20.12	2546464	2547460	113	2	0.017699115	-0.749836602	1	autosome
1	ENSG00000238164	RP3-395M20.8	2549919	2557031	154	29	0.188311688	0.373734739	6	autosome
1	ENSG00000157870	FAM213B	2586490	2591469	195	8	0.041025641	-0.596219459	14	autosome
1	ENSG00000142611	PRDM16	3069167	3438621	276	22	0.079710145	-0.341462151	16	autosome
1	ENSG00000158109	TPRG1L	3625001	3630127	125	9	0.072	-0.392237412	14	autosome
1	ENSG00000116213	WRAP73	3630766	3652761	163	10	0.061349693	-0.462375147	15	autosome
1	ENSG00000078900	TP73	3652519	3735600	130	16	0.123076923	-0.055869664	14	autosome
