CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
1	ENSG00000000457.13	SCYL3	169849630	169894267	145	-0.33787337479506635
1	ENSG00000000460.16	C1orf112	169662006	169854080	157	-0.11566327480778475
1	ENSG00000000971.15	CFH	196651877	196747504	135	-0.17757394176330554
6	ENSG00000001036.13	FUCA2	143494810	143511690	143	-0.3342047291567044
6	ENSG00000001561.6	ENPP4	46129992	46146699	125	-0.1437653340693342
11	ENSG00000002330.13	BAD	64269829	64284669	49	0.1760364958522112
4	ENSG00000002549.12	LAP3	17577191	17607972	90	-0.38887773985062657
7	ENSG00000002822.15	MAD1L1	1815792	2233243	164	-0.2523033337697972
17	ENSG00000002834.17	LASP1	38869858	38921770	162	-0.24800854112574594
7	ENSG00000002933.7	TMEM176A	150800533	150805120	149	1.0590496282510833
7	ENSG00000003147.17	ICA1	8113183	8262579	162	-0.013226543250944805
2	ENSG00000003509.15	NDUFAF7	37231713	37253403	139	-0.3265507202709132
8	ENSG00000003987.13	MTMR7	17298029	17413327	165	-0.0238984522452539
8	ENSG00000003989.17	SLC7A2	17497087	17570573	106	0.6556806582414132
3	ENSG00000004399.12	PLXND1	129555174	129606818	120	0.03372985632401545
17	ENSG00000004660.14	CAMKK1	3860314	3893044	174	1.4764247536098627
19	ENSG00000004776.12	HSPB6	35754871	35758079	50	0.16051213517640808
19	ENSG00000004777.18	ARHGAP33	35774531	35788822	140	-0.32850522611139205
17	ENSG00000004897.11	CDC27	47117702	47189422	128	-0.15446258884750486
17	ENSG00000004975.11	DVL2	7225340	7234545	136	-0.32051474635178745
17	ENSG00000005156.11	LIG3	34980493	35005989	99	-0.0238984522452539
12	ENSG00000005175.9	RPAP3	47661248	47706061	87	-0.3815914019855466
19	ENSG00000005206.16	SPPL2B	2328620	2354806	144	-0.20398691652422074
17	ENSG00000005243.9	COPZ2	48026166	48038030	101	-0.6001815379379476
7	ENSG00000005249.12	PRKAR2B	107044648	107161811	137	0.09388203242186592
17	ENSG00000005379.15	TSPOAP1	58301230	58328760	123	1.4097814194780331
2	ENSG00000005436.13	GCFC2	75651999	75710989	146	0.3116088236717253
7	ENSG00000005483.20	KMT2E	105014321	105114361	127	-0.3006958398614297
