CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
20	ENSG00000000419.12	DPM1	50934866	50958555	402	-0.5984095872250161
1	ENSG00000000457.13	SCYL3	169849630	169894267	672	-0.18829695144456168
1	ENSG00000000460.16	C1orf112	169662006	169854080	722	1.8249442924807018
1	ENSG00000000971.15	CFH	196651877	196747504	631	2.2605782704551434
6	ENSG00000001036.13	FUCA2	143494810	143511690	639	-0.14497733507572458
6	ENSG00000001084.10	GCLC	53497340	53545129	630	-0.11361125523250472
1	ENSG00000001461.16	NIPAL3	24419290	24472976	681	0.1852511702984821
6	ENSG00000001561.6	ENPP4	46129992	46146699	590	1.8134408163986544
3	ENSG00000001617.11	SEMA3F	50155044	50189075	606	0.15151960512784898
7	ENSG00000001629.9	ANKIB1	92246233	92401384	488	-0.4130218704492461
7	ENSG00000001630.15	CYP51A1	92112150	92142952	496	0.15994427136239053
7	ENSG00000001631.15	KRIT1	92198968	92246166	486	-0.4395124750669354
12	ENSG00000002016.17	RAD52	912076	990053	757	-0.2411159817066974
4	ENSG00000002549.12	LAP3	17577191	17607972	425	1.2414987972790517
7	ENSG00000002822.15	MAD1L1	1815792	2233243	737	0.5360538856179038
17	ENSG00000002834.17	LASP1	38869858	38921770	763	-0.3891821643585601
7	ENSG00000002933.7	TMEM176A	150800533	150805120	700	5.114930648311212
12	ENSG00000003056.7	M6PR	8941467	8949955	546	-0.3559480597247737
2	ENSG00000003137.8	CYP26B1	72129237	72148038	374	1.357882131292652
7	ENSG00000003147.17	ICA1	8113183	8262579	765	0.20014854660809428
2	ENSG00000003393.14	ALS2	201700553	201781189	493	-0.3477356947687337
2	ENSG00000003400.14	CASP10	201182880	201229406	508	-0.3616725511694729
2	ENSG00000003402.19	CFLAR	201116103	201176687	634	1.1989036469398082
2	ENSG00000003436.15	TFPI	187464229	187565760	669	0.7147819051986605
2	ENSG00000003509.15	NDUFAF7	37231713	37253403	639	0.24059593909458776
3	ENSG00000003756.16	RBM5	50088907	50119021	539	-0.37531981055409297
8	ENSG00000003987.13	MTMR7	17298029	17413327	737	-0.11397975502878965
8	ENSG00000003989.17	SLC7A2	17497087	17570573	722	2.431608059042302
7	ENSG00000004059.10	ARF5	127588344	127591408	288	-0.7484396730349895
17	ENSG00000004139.13	SARM1	28365115	28404049	585	0.19808401399375847
17	ENSG00000004142.11	POLDIP2	28347176	28357522	481	-0.4497886396563093
4	ENSG00000004468.12	CD38	15778274	15853230	674	0.44954347379890025
1	ENSG00000004487.15	KDM1A	23019447	23083689	586	-0.5043961081397743
3	ENSG00000004534.14	RBM6	49940006	50077252	579	0.12588955485307438
17	ENSG00000004660.14	CAMKK1	3860314	3893044	781	0.7225625318074784
7	ENSG00000004766.15	VPS50	93232339	93361121	652	-0.3473737355125181
19	ENSG00000004777.18	ARHGAP33	35774531	35788822	604	-0.4344764738774408
7	ENSG00000004799.7	PDK4	95583498	95596491	583	4.967671371568528
7	ENSG00000004846.16	ABCB5	20615206	20777038	414	-0.37338758988313786
7	ENSG00000004866.20	ST7	117014887	117230103	446	-0.5435183202607335
17	ENSG00000004975.11	DVL2	7225340	7234545	624	-0.5016635089776682
7	ENSG00000005020.12	SKAP2	26667061	26995239	542	0.834428578603201
4	ENSG00000005059.15	MCUB	109560204	109688621	632	-0.29993874589733743
7	ENSG00000005075.15	POLR2J	102473168	102478907	501	-0.08206193554793402
17	ENSG00000005100.12	DHX33	5440911	5469060	525	-0.5720456377996039
17	ENSG00000005102.12	MEOX1	43640387	43661954	523	-0.3355522707794067
7	ENSG00000005108.15	THSD7A	11370356	11832198	807	0.01985882302682541
17	ENSG00000005156.11	LIG3	34980493	35005989	498	-0.5311312918878597
16	ENSG00000005187.11	ACSM3	20610242	20796124	637	1.124932757874535
16	ENSG00000005189.19	AC004381.6	20806676	20849668	429	-0.5325728466979792
16	ENSG00000005194.14	CIAPIN1	57428168	57447436	458	-0.5806414603664161
19	ENSG00000005206.16	SPPL2B	2328620	2354806	644	0.16860030831977404
9	ENSG00000005238.19	FAM214B	35104111	35116341	445	-0.4813791860793736
7	ENSG00000005249.12	PRKAR2B	107044648	107161811	634	-0.07488692522063224
X	ENSG00000005302.17	MSL3	11758158	11775753	172	2.164539326051975
7	ENSG00000005421.8	PON1	95297675	95324707	167	0.9424778274046176
2	ENSG00000005436.13	GCFC2	75651999	75710989	640	0.11061557362233013
7	ENSG00000005471.15	ABCB4	87401696	87480435	360	0.2258691820950274
11	ENSG00000005801.16	ZNF195	3339260	3379222	472	-0.3412357654134737
13	ENSG00000005812.10	FBXL3	77000146	77027195	401	-0.5978576645874879
17	ENSG00000005882.11	PDK2	50094736	50110039	567	-0.3731251895451069
17	ENSG00000005884.17	ITGA3	50055967	50090481	580	0.6316536606992195
X	ENSG00000005889.15	ZFX	24149172	24216255	196	0.0881371189507144
17	ENSG00000005961.17	ITGA2B	44372179	44389505	385	-0.5353076821091771
16	ENSG00000006007.11	GDE1	19501889	19522145	388	0.11513556315643846
17	ENSG00000006025.11	OSBPL7	47807371	47821834	623	0.11403135712375505
17	ENSG00000006042.11	TMEM98	32927909	32945106	642	0.971203241319175
17	ENSG00000006047.12	YBX2	7288257	7294615	320	0.01437286963997486
17	ENSG00000006062.14	MAP3K14	45263391	45317040	539	-0.10867335796228599
11	ENSG00000006071.12	ABCC8	17392884	17476845	665	1.1665516065381802
17	ENSG00000006125.17	AP2B1	35586898	35726409	588	-0.05153483240689884
7	ENSG00000006128.11	TAC1	97731907	97740472	386	0.49231735124722703
16	ENSG00000006210.6	CX3CL1	57372457	57385048	484	-0.05615208699723313
17	ENSG00000006282.20	SPATA20	50546305	50555852	582	2.8021407235954694
16	ENSG00000006327.13	TNFRSF12A	3018484	3022383	327	-0.6104362035122103
14	ENSG00000006432.15	MAP3K9	70722525	70809534	605	-0.6274219111863468
7	ENSG00000006459.10	KDM7A	140084745	140177035	606	0.42256616419806864
7	ENSG00000006468.13	ETV1	13891227	13991425	703	-0.3329648737981635
11	ENSG00000006534.15	ALDH3B1	68008577	68029276	524	1.557358103460569
7	ENSG00000006576.16	PHTF2	77798791	77957503	475	-0.5171570113011734
7	ENSG00000006606.8	CCL26	75769532	75789896	152	0.7111475335590152
2	ENSG00000006607.13	FARP2	241356242	241491679	689	-0.26347536236972113
7	ENSG00000006625.17	GGCT	30496620	30504844	678	-0.224167716238285
19	ENSG00000006638.11	TBXA2R	3594505	3606840	570	-0.4835377275708848
7	ENSG00000006652.13	IFRD1	112422967	112480990	659	3.095534924396621
17	ENSG00000006695.10	COX10	14069495	14208677	732	-0.2868019308002554
7	ENSG00000006704.10	GTF2IRD1	74453789	74602604	679	-0.3560772830474678
19	ENSG00000006712.14	PAF1	39385851	39391195	137	-0.5699522577013973
7	ENSG00000006715.15	VPS41	38722962	38932394	716	-0.026370472455597004
17	ENSG00000006744.18	ELAC2	12992390	13018187	506	1.4796120335628251
X	ENSG00000006756.15	ARSD	2903969	2929351	187	1.4859769957730302
X	ENSG00000006757.11	PNPLA4	7898246	7927739	124	-0.2678010796702999
17	ENSG00000006788.13	MYH13	10300864	10373130	259	-0.5819107558054029
5	ENSG00000006837.11	CDKL3	134286349	134371047	158	-0.5165186704708515
2	ENSG00000007001.12	UPP2	157876701	158136154	403	-0.4800816509024043
19	ENSG00000007047.14	MARK4	45251257	45305283	634	0.5835980315741718
4	ENSG00000007062.11	PROM1	15964247	16084378	690	1.3227157150812692
19	ENSG00000007129.17	CEACAM21	41549517	41586844	373	1.345371908986066
17	ENSG00000007168.12	PAFAH1B1	2593209	2685615	641	-0.5634837399181503
17	ENSG00000007171.16	NOS2	27756765	27800499	182	-0.2932747482181524
17	ENSG00000007202.14	KIAA0100	28614439	28645454	175	-0.6241898329731128
17	ENSG00000007237.18	GAS7	9910608	10198551	738	1.7305127204159814
17	ENSG00000007314.12	SCN4A	63938553	63972918	585	-0.43366296599298415
X	ENSG00000007350.16	TKTL1	154295670	154330350	11	1.0467946032688773
16	ENSG00000007376.7	RPUSD1	784973	787981	350	-0.5068653938327178
16	ENSG00000007392.16	LUC7L	188968	229463	609	-0.30278380237777763
16	ENSG00000007516.13	BAIAP3	1333600	1349239	550	0.6859330707612987
16	ENSG00000007541.16	PIGQ	566994	584136	495	1.1712296144783874
16	ENSG00000007545.15	CRAMP1	1612324	1677908	561	-0.4781442595927636
6	ENSG00000007866.19	TEAD3	35473596	35497076	496	-0.4333799252313412
1	ENSG00000007923.15	DNAJC11	6635586	6701924	600	-0.5345669975186444
1	ENSG00000007933.12	FMO3	171090876	171117819	586	1.5627964415608726
6	ENSG00000007944.14	MYLIP	16129124	16148248	577	-0.02502863019951813
6	ENSG00000008083.13	JARID2	15246295	15522040	741	-0.3948714847657279
X	ENSG00000008086.11	CDKL5	18425582	18653629	58	0.24225789286256336
1	ENSG00000008128.22	CDK11A	1702729	1724324	449	0.23200856105070555
6	ENSG00000008196.12	TFAP2B	50818722	50847613	403	-0.3612045310124257
7	ENSG00000008256.15	CYTH3	6161775	6272644	637	-0.30401874447643035
7	ENSG00000008277.14	ADAM22	87934142	88202889	442	-0.5565026565459618
7	ENSG00000008311.14	AASS	122076132	122144280	520	-0.5433412611295714
3	ENSG00000008324.11	SS18L2	42581839	42595114	444	-0.2956461708157003
19	ENSG00000008382.15	MPND	4343526	4360086	493	-0.528204321573601
12	ENSG00000008394.12	MGST1	16347141	16609259	745	1.2747862681024091
12	ENSG00000008405.11	CRY1	106991363	107093829	483	-0.43715087202465697
8	ENSG00000008513.14	ST3GAL1	133454847	133571940	783	1.2255805389147252
16	ENSG00000008516.16	MMP25	3046680	3060726	702	1.2178484292192722
16	ENSG00000008517.16	IL32	3065296	3082192	659	1.0080856847590904
16	ENSG00000008710.19	PKD1	2088720	2135898	510	0.7906048743081218
2	ENSG00000008869.11	HEATR5B	36968382	37084342	609	-0.4376394795506456
3	ENSG00000008952.16	SEC62	169966734	169998373	293	-0.2357778672182213
7	ENSG00000009335.17	UBE3C	157138912	157269372	532	-0.3952013442999733
6	ENSG00000009413.15	REV3L	111299027	111483229	591	0.21091136384120499
X	ENSG00000009694.13	TENM1	124375902	124963817	115	0.43002976510000224
1	ENSG00000009724.16	MASP2	11026522	11047233	272	-0.2661777576549955
1	ENSG00000009790.14	TRAF3IP3	209756031	209778173	632	-0.14833279869587762
14	ENSG00000009830.11	POMT2	77274955	77320883	718	-0.34313407347244496
7	ENSG00000009950.15	MLXIPL	73593193	73624543	399	2.833793636428005
6	ENSG00000010017.12	RANBP9	13621497	13711564	672	-0.3716163876014289
1	ENSG00000010165.19	METTL13	171781663	171814023	625	-0.2831667965383645
12	ENSG00000010219.13	DYRK4	4562203	4615302	622	-0.2145602933162672
17	ENSG00000010244.18	ZNF207	32350202	32381886	545	-0.5057890228314297
7	ENSG00000010270.13	STARD3NL	38178221	38230671	686	-0.11139424013159023
12	ENSG00000010278.12	CD9	6199714	6238271	568	0.5659233891757889
3	ENSG00000010282.14	HHATL	42693076	42702827	441	1.6478072424440615
12	ENSG00000010292.12	NCAPD2	6493841	6531955	630	-0.2765618651497201
12	ENSG00000010295.19	IFFO1	6538374	6556083	461	-0.22589753957893
3	ENSG00000010322.15	NISCH	52455117	52493071	314	-0.3838117357958703
3	ENSG00000010327.10	STAB1	52495337	52524384	614	0.07198612783281445
X	ENSG00000010404.17	IDS	149476989	149521096	207	5.726633068322187
9	ENSG00000010438.16	PRSS3	33750465	33799231	435	0.07705968832580026
12	ENSG00000010610.9	CD4	6786857	6820808	571	1.1938937846461442
X	ENSG00000010671.15	BTK	101349446	101390796	184	0.7796650955093317
6	ENSG00000010704.18	HFE	26087280	26098343	634	-0.5282700102268908
6	ENSG00000010810.17	FYN	111660331	111873452	755	-0.16706481071528212
6	ENSG00000010818.9	HIVEP2	142751466	142956698	782	-0.4871612893905542
1	ENSG00000010932.16	FMO1	171248470	171285978	354	0.7462524151781121
1	ENSG00000011007.12	ELOA	23743154	23762059	558	-0.5131030730940649
1	ENSG00000011021.21	CLCN6	11807130	11843144	496	-0.0608275227189981
17	ENSG00000011028.13	MRC2	62627590	62693597	650	-0.28274563188504004
19	ENSG00000011132.11	APBA3	3750879	3761699	672	-0.5345669975186444
3	ENSG00000011198.7	ABHD5	43690112	43734371	398	0.14323384348123008
X	ENSG00000011201.11	ANOS1	8528873	8732186	155	0.8139807113285041
17	ENSG00000011260.13	UTP18	51260527	51297936	561	-0.4293462159811912
17	ENSG00000011295.15	TTC19	15999379	16045015	537	-0.4246436112197407
19	ENSG00000011304.19	PTBP1	797074	812327	637	-0.3362507332512641
19	ENSG00000011422.11	PLAUR	43646094	43670547	620	-0.2678010796702999
9	ENSG00000011454.16	RABGAP1	122940832	123104866	399	-0.16792812520490985
12	ENSG00000011465.16	DCN	91140483	91183123	137	3.4764563184910604
19	ENSG00000011485.14	PPP5C	46346993	46392981	657	0.11779349218418007
2	ENSG00000011523.13	CEP68	65056365	65086854	521	-0.16292388382549436
2	ENSG00000011566.14	MAP4K3	39249265	39437312	500	-0.35434362295020416
16	ENSG00000011638.10	TMEM159	21158376	21180616	555	0.4627347758800967
19	ENSG00000012061.15	ERCC1	45407332	45478828	651	-0.2099798955061267
3	ENSG00000012171.19	SEMA3B	50267557	50277546	121	-0.5934850899473896
X	ENSG00000012174.11	MBTPS2	21839635	21885424	171	1.9418534558285097
3	ENSG00000012223.12	LTF	46435644	46485234	644	3.037948004688132
8	ENSG00000012232.8	EXTL3	28600468	28753687	576	-0.3563397679216901
6	ENSG00000012660.13	ELOVL5	53267397	53349179	629	1.1496661546662466
10	ENSG00000012779.10	ALOX5	45374175	45446119	637	0.7274048963182516
12	ENSG00000012822.15	CALCOCO1	53708516	53727745	683	-0.4990781201757662
14	ENSG00000012983.11	MAP4K5	50418524	50561126	565	-0.5532414258233164
2	ENSG00000013016.15	EHD3	31234336	31269447	558	1.3021316782417964
4	ENSG00000013288.8	MAN2B2	6575174	6623362	691	-0.17594595550474387
17	ENSG00000013306.15	SLC25A39	44319624	44324870	499	3.3771456648978755
12	ENSG00000013503.9	POLR3B	106357657	106510198	591	-0.4839034195621498
14	ENSG00000013523.9	ANGEL1	76786724	76826246	622	-0.5336500728647694
5	ENSG00000013561.17	RNF14	141966819	141990291	589	-0.2271325912868862
X	ENSG00000013563.13	DNASE1L1	154402339	154412085	177	3.7042202663872255
12	ENSG00000013573.16	DDX11	31073847	31104791	628	3.6593354039016615
12	ENSG00000013588.7	GPRC5A	12890781	12917937	683	1.4448773258058891
X	ENSG00000013619.13	MAMLD1	150361421	150514178	218	2.476655626570815
11	ENSG00000013725.14	CD6	60971679	61020377	626	-0.3496206583074918
4	ENSG00000013810.18	TACC3	1721489	1745176	606	1.4164035474555403
11	ENSG00000014138.8	POLA2	65261761	65305589	306	-0.3947809350896606
8	ENSG00000014164.6	ZC3H3	143437654	143541453	758	1.970207450305148
11	ENSG00000014216.15	CAPN1	65181193	65212006	631	-0.5160381444892304
3	ENSG00000014257.15	ACPP	132317366	132368298	575	0.6442743930955063
4	ENSG00000014824.13	SLC30A9	41990471	42090457	358	-0.13151458108933092
1	ENSG00000014914.20	MTMR11	149928650	149936867	541	-0.452865790605438
10	ENSG00000014919.12	COX15	99711843	99732100	557	-0.4265427377126627
14	ENSG00000015133.18	CCDC88C	91271322	91417844	715	-0.3602782157925039
10	ENSG00000015171.19	ZMYND11	134464	254637	533	-0.5115613063436529
22	ENSG00000015475.18	BID	17734137	17774770	516	-0.3555108040630996
5	ENSG00000015479.18	MATR3	139293647	139331677	375	-0.2904669838626557
17	ENSG00000015532.9	XYLT2	50346091	50361151	649	0.013351289833964644
7	ENSG00000015676.17	NUDCD3	44379120	44490880	506	-0.2516576876129651
3	ENSG00000016391.10	CHDH	53813733	53846390	601	0.3190257773097637
6	ENSG00000016402.13	IL20RA	136999970	137045180	478	-0.10383876398223936
3	ENSG00000017260.19	ATP2C1	130850594	131016712	531	-0.22684811975124755
18	ENSG00000017797.12	RALBP1	9475008	9538116	645	-0.013314523236947337
12	ENSG00000018236.14	CNTN1	40692441	41072418	591	1.5194792059175233
2	ENSG00000018280.16	SLC11A1	218382028	218396894	573	0.9718729996610572
3	ENSG00000018408.14	WWTR1	149517234	149736714	755	-0.2214536235618229
X	ENSG00000018610.13	CXorf56	119538148	119565408	159	3.3554944967786526
2	ENSG00000018699.11	TTC27	32628031	32821051	681	-0.5182360443220951
19	ENSG00000018869.16	ZNF582	56375845	56393545	439	-0.28967710026834176
11	ENSG00000019485.13	PRDM11	45095805	45235110	667	-0.368257210860257
11	ENSG00000019505.7	SYT13	45240300	45286319	420	1.2986273640500283
7	ENSG00000019991.15	HGF	81699005	81770438	409	-0.31773113089897576
20	ENSG00000020256.19	ZFP64	52051662	52204308	760	-0.4685291187627203
14	ENSG00000020577.13	SAMD4A	54567096	54793315	810	-0.03394651260631052
11	ENSG00000020922.12	MRE11	94415577	94492906	648	-0.41838924785544457
11	ENSG00000021300.13	PLEKHB1	73646177	73662819	372	-0.17581283213638796
6	ENSG00000021355.12	SERPINB1	2832331	2842006	625	2.2134972683692418
19	ENSG00000021488.12	SLC7A9	32830508	32869766	396	-0.2494034301635175
