#CHR	gene_start	gene_stop	GENE_ID	GENE_NAME	z_score	strand	gene_id	pLI	exac_pLI
chr1	825137	859446	ENSG00000228794	LINC01128	0.3159914102395018	+			
chr1	960586	965715	ENSG00000187961	KLHL17	-0.399755874847522	+	ENSG00000187961	1.3052e-16	2.5168e-07
chr1	966496	975108	ENSG00000187583	PLEKHN1	-0.3250262811665968	+	ENSG00000187583	1.1549e-14	2.0197e-08
chr1	1169356	1170343	ENSG00000272141	RP11-465B22.8	-0.6331393360239115	+			
chr1	1399521	1401907	ENSG00000224870	RP4-758J18.2	-0.6475619094673961	+	ENSG00000224870	0.011799	
chr1	1512150	1534687	ENSG00000197785	ATAD3A	-0.6536590151092356	+	ENSG00000197785	4.0861e-09	0.040131
chr1	1671989	1674397	ENSG00000269737	RP11-345P4.6	-0.6242160172027627	+			
chr1	1724511	1737251	ENSG00000227775	RP1-283E3.4	1.1788012891670412	+			
chr1	2050469	2175313	ENSG00000067606	PRKCZ	0.1708641796324212	+	ENSG00000067606	0.541	0.26692
chr1	2228694	2310119	ENSG00000157933	SKI	-0.0290880247438445	+	ENSG00000157933	0.99901	0.9814
chr1	2391774	2403963	ENSG00000157916	RER1	-0.6733760782964261	+	ENSG00000157916	0.37879	0.96924
chr1	2425979	2505526	ENSG00000149527	PLCH2	1.0579175569665362	+	ENSG00000149527	1.8065e-18	1.7052e-08
chr1	2546464	2547460	ENSG00000272449	RP3-395M20.12	-0.7267904670984354	+			
chr1	2586490	2591469	ENSG00000157870	FAM213B	-0.4706567958360855	+	ENSG00000157870	1.5148e-05	0.0001667
chr1	3069167	3438621	ENSG00000142611	PRDM16	-0.2499543321149063	+	ENSG00000142611	0.99999	0.99984
chr1	3625001	3630127	ENSG00000158109	TPRG1L	-0.2917974058222694	+	ENSG00000158109	8.4721e-07	0.0028453
chr1	3652519	3735600	ENSG00000078900	TP73	-0.2604318966375467	+	ENSG00000078900	0.99696	0.97598
chr1	3857266	3885429	ENSG00000169598	DFFB	-0.0310967433438014	+	ENSG00000169598	1.1349e-05	5.0862e-05
chr1	4654731	4792534	ENSG00000196581	AJAP1	0.4211507826948233	+	ENSG00000196581	0.99469	0.97759
chr1	5991465	6101193	ENSG00000069424	KCNAB2	1.1000915397754745	+	ENSG00000069424	0.79978	0.83997
chr1	6206175	6221192	ENSG00000158286	RNF207	0.6102708658464314	+	ENSG00000158286	5.4736e-12	5.1901e-06
chr1	6785323	7769706	ENSG00000171735	CAMTA1	-0.1580049079272114	+	ENSG00000171735	1.0	1.0
chr1	7771268	7781432	ENSG00000049245	VAMP3	-0.0343538730599241	+	ENSG00000049245	0.0025882	0.054263
chr1	7776382	7776775	ENSG00000269925	RP3-467L1.6	-0.5688729465866219	+			
chr1	7784319	7845177	ENSG00000049246	PER3	0.1839221785334358	+	ENSG00000049246	1.3661e-17	2.1907e-10
chr1	7954290	7985505	ENSG00000116288	PARK7	-0.0211732703176375	+	ENSG00000116288	0.75335	0.90395
chr1	8317825	8344167	ENSG00000162426	SLC45A1	-0.5878714047779374	+	ENSG00000162426	2.4761e-05	0.045189
chr1	8424644	8434838	ENSG00000232912	RP5-1115A15.1	-0.7951170708822562	+			
chr1	9183750	9196284	ENSG00000234546	LINC01759	-0.7614087794490889	+			
chr1	9292879	9369532	ENSG00000171621	SPSB1	0.0568411081637421	+	ENSG00000171621	0.51982	0.7096
chr1	9539481	9585179	ENSG00000171612	SLC25A33	-0.6921555760660417	+	ENSG00000171612	0.0059223	0.45116
chr1	9588921	9614873	ENSG00000188807	TMEM201	-0.6867540896893044	+	ENSG00000188807	0.99004	0.8419
chr1	9651731	9729025	ENSG00000171608	PIK3CD	-0.5353637210855333	+	ENSG00000171608	0.99999	0.99998
chr1	10474886	10630758	ENSG00000142655	PEX14	-0.5302727059129254	+	ENSG00000142655	0.22566	0.63457
chr1	10640059	10654333	ENSG00000272078	RP4-734G22.3	-0.6187708165183751	+			
chr1	11068470	11073097	ENSG00000226849	RP4-635E18.7	-0.2022481609923705	+			
chr1	11143897	11149537	ENSG00000225602	MTOR-AS1	-0.4405600264127494	+			
chr1	11654856	11663327	ENSG00000132879	FBXO44	0.0350676620351573	+	ENSG00000132879	2.1091e-06	3.5958e-05
chr1	11664123	11674354	ENSG00000116663	FBXO6	-0.3272506505398381	+	ENSG00000116663	0.015153	0.00048573
chr1	11736083	11754802	ENSG00000177674	AGTRAP	0.8364650685506285	+	ENSG00000177674	0.18842	0.041663
chr1	11807130	11843144	ENSG00000011021	CLCN6	-0.0456617790434637	+	ENSG00000011021	6.1077e-08	0.16397
chr1	11843703	11848079	ENSG00000242349	NPPA-AS1	4.00744800194699	+			
chr1	11980180	12013514	ENSG00000116688	MFN2	1.95923895404396	+	ENSG00000116688	0.99415	0.99982
chr1	12019465	12032045	ENSG00000116691	MIIP	-0.0015659153854286	+	ENSG00000116691	1.3121e-20	1.9619e-15
chr1	12167038	12209228	ENSG00000028137	TNFRSF1B	0.0093118520529679	+	ENSG00000028137	0.50201	0.77888
chr1	13583464	13617957	ENSG00000162493	PDPN	1.3030817834564845	+	ENSG00000162493	0.00032048	0.00098371
chr1	13700197	13825079	ENSG00000116731	PRDM2	-0.2931529216891935	+	ENSG00000116731	0.99996	0.99504
chr1	13892791	15118043	ENSG00000189337	KAZN	1.470335380257535	+	ENSG00000189337	0.59671	0.14459
chr1	15152531	15220480	ENSG00000171729	TMEM51	0.8413567019041169	+	ENSG00000171729	0.30495	0.87076
chr1	15247271	15400283	ENSG00000142621	FHAD1	-0.2743190145838304	+	ENSG00000142621	0.00013667	
chr1	15409894	15430343	ENSG00000142634	EFHD2	-0.0292314701617699	+	ENSG00000142634	0.0090981	0.379
chr1	15456727	15472091	ENSG00000142615	CELA2A	0.6298911505329658	+	ENSG00000142615	1.9736e-16	1.9845e-06
chr1	15465908	15487437	ENSG00000215704	CELA2B	0.1465944120761788	+	ENSG00000215704	2.5651e-06	0.00061721
chr1	15526812	15592379	ENSG00000116138	DNAJC16	-0.0925336305711125	+	ENSG00000116138	3.6232e-11	3.7929e-05
chr1	15617499	15669044	ENSG00000197312	DDI2	-0.4606209049250475	+	ENSG00000197312	0.99819	0.94109
chr1	15684331	15734769	ENSG00000116786	PLEKHM2	0.1172286403239494	+	ENSG00000116786	1.7077e-05	0.0050656
chr1	15756606	15786594	ENSG00000162458	FBLIM1	0.010388398778433	+	ENSG00000162458	5.3941e-05	0.00078906
chr1	16352574	16398145	ENSG00000055070	SZRD1	-0.3097646357446357	+	ENSG00000055070	0.59651	0.71987
chr1	16440671	16460078	ENSG00000157191	NECAP2	-0.4555921509711401	+	ENSG00000157191	1.9626e-09	6.8667e-05
chr1	16645621	16650289	ENSG00000186301	MST1P2	0.140497281500504	+			
chr1	16978925	17005091	ENSG00000226526	RP1-37C10.3	0.7030899049404215	+			
chr1	17205125	17246005	ENSG00000142623	PADI1	0.5367201894493429	+	ENSG00000142623	2.0388e-15	5.2682e-11
chr1	17249097	17284233	ENSG00000142619	PADI3	0.154541334844179	+	ENSG00000142619	2.3615e-10	4.6879e-10
chr1	17308194	17364004	ENSG00000159339	PADI4	0.9242979339810532	+	ENSG00000159339	4.6001e-16	1.3042e-09
chr1	17539834	17697869	ENSG00000074964	ARHGEF10L	0.2504334751712014	+	ENSG00000074964	0.00047308	0.038306
chr1	18107745	18378482	ENSG00000117154	IGSF21	-0.2282420969295673	+	ENSG00000117154	0.20912	0.5473
chr1	18480981	18486126	ENSG00000179023	KLHDC7A	1.1192148754182398	+	ENSG00000179023	4.9895000000000005e-19	2.5827e-10
chr1	19210500	19240296	ENSG00000230424	RP1-43E13.2	-0.4443917444374372	+			
chr1	19251552	19260128	ENSG00000053372	MRTO4	0.1564864032650165	+	ENSG00000053372	0.98629	0.86998
chr1	19596976	19629821	ENSG00000173436	MINOS1	-0.1346327306199986	+	ENSG00000173436	0.78732	0.34888
chr1	19640553	19658456	ENSG00000158747	NBL1	2.4129767521123084	+	ENSG00000158747	0.059018	0.10886
chr1	19882512	19912945	ENSG00000169914	OTUD3	-0.0945869925394252	+	ENSG00000169914	3.5645e-05	2.6254e-05
chr1	20028178	20091190	ENSG00000127472	PLA2G5	1.3336594377721531	+	ENSG00000127472	5.3834e-05	0.00019027
chr1	21440127	21485005	ENSG00000142794	NBPF3	1.298635884712919	+	ENSG00000142794	8.0766e-19	1.9838e-11
chr1	21509371	21578412	ENSG00000162551	ALPL	2.3152802836107607	+	ENSG00000162551	0.0003636	0.0011065
chr1	21812264	21825221	ENSG00000187942	LDLRAD2	0.904085107306278	+	ENSG00000187942	0.00021385	0.00019512
chr1	21977020	21998642	ENSG00000219073	CELA3B	2.258406357226736	+	ENSG00000219073	2.4372e-12	2.1174e-10
chr1	22451850	22531157	ENSG00000184677	ZBTB40	0.0044576049999611	+	ENSG00000184677	1.0543e-10	1.2121e-05
chr1	22643629	22648110	ENSG00000159189	C1QC	-0.1945815167002462	+	ENSG00000159189	0.048591	0.017382
chr1	22652761	22661538	ENSG00000173369	C1QB	-0.5982001440199766	+	ENSG00000173369	0.15392	0.085881
chr1	22710838	22921500	ENSG00000133216	EPHB2	-0.7268794170593533	+	ENSG00000133216	0.99997	0.99995
chr1	23691778	23696425	ENSG00000142676	RPL11	-0.4093438969865745	+	ENSG00000142676	0.96088	0.72584
chr1	23743154	23762059	ENSG00000011007	ELOA	-0.5582758780140518	+	ENSG00000011007	1.0	0.99999
chr1	23778404	23788232	ENSG00000057757	PITHD1	-0.4315838721512121	+	ENSG00000057757	0.0080936	0.10242
chr1	23959108	23963462	ENSG00000189266	PNRC2	0.6863727024225649	+	ENSG00000189266	0.33763	
chr1	24040834	24064273	ENSG00000225315	RP11-293P20.2	0.3175540932217925	+			
chr1	24419290	24472976	ENSG00000001461	NIPAL3	0.1634997075491883	+	ENSG00000001461	6.9573e-05	0.00045471
chr1	24502350	24541040	ENSG00000117602	RCAN3	-0.3599746726250541	+	ENSG00000117602	0.00015715	0.0032064
chr1	24745356	24844324	ENSG00000169504	CLIC4	-0.1502625831036053	+	ENSG00000169504	0.0010866	0.009462
chr1	25338213	25362248	ENSG00000183726	TMEM50A	1.4570033953628327	+	ENSG00000183726	0.16293	0.33349
chr1	25430857	25500209	ENSG00000204178	TMEM57	-0.2170754768124972	+	ENSG00000204178	0.99757	0.9925
chr1	25543579	25568886	ENSG00000157978	LDLRAP1	1.9389368669183884	+	ENSG00000157978	6.5037e-06	2.9008e-05
chr1	25617467	25786207	ENSG00000117643	MAN1C1	-0.3854175368507615	+	ENSG00000117643	0.20933	0.049048
