CHR	GENE_ID.v2	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
1	ENSG00000188976	ENSG00000188976.10	NOC2L	944581	959309	532	-0.276890928
1	ENSG00000187961	ENSG00000187961.13	KLHL17	960586	965715	473	-0.399755875
1	ENSG00000187583	ENSG00000187583.10	PLEKHN1	966496	975108	566	-0.325026281
1	ENSG00000131591	ENSG00000131591.17	C1orf159	1081817	1116361	638	-0.377294638
1	ENSG00000078808	ENSG00000078808.16	SDF4	1216907	1232031	626	-0.068050928
1	ENSG00000162576	ENSG00000162576.16	MXRA8	1352688	1361777	288	2.211893558
1	ENSG00000221978	ENSG00000221978.11	CCNL2	1386481	1399328	327	-0.655897892
1	ENSG00000197785	ENSG00000197785.13	ATAD3A	1512150	1534687	677	-0.653659015
1	ENSG00000248333	ENSG00000248333.8	CDK11B	1635263	1659012	457	-0.338931461
1	ENSG00000189339	ENSG00000189339.11	SLC35E2B	1659528	1692728	699	0.278218747
1	ENSG00000008128	ENSG00000008128.22	CDK11A	1702729	1724324	452	0.274614884
1	ENSG00000215790	ENSG00000215790.6	SLC35E2	1724837	1745992	600	1.094656117
1	ENSG00000008130	ENSG00000008130.15	NADK	1751231	1780457	612	0.55248104
1	ENSG00000078369	ENSG00000078369.17	GNB1	1785284	1891117	531	-0.565866587
1	ENSG00000067606	ENSG00000067606.16	PRKCZ	2050469	2175313	643	0.17086418
1	ENSG00000162585	ENSG00000162585.16	FAAP20	2184460	2212720	672	-0.392823206
1	ENSG00000157933	ENSG00000157933.9	SKI	2228694	2310119	731	-0.029088025
1	ENSG00000116151	ENSG00000116151.13	MORN1	2321252	2391707	814	0.114417727
1	ENSG00000157916	ENSG00000157916.19	RER1	2391774	2403963	709	-0.673376078
1	ENSG00000157911	ENSG00000157911.9	PEX10	2405444	2413797	573	-0.565602427
1	ENSG00000149527	ENSG00000149527.17	PLCH2	2425979	2505526	639	1.057917557
1	ENSG00000157881	ENSG00000157881.13	PANK4	2508532	2526628	586	-0.595463439
1	ENSG00000157870	ENSG00000157870.14	FAM213B	2586490	2591469	571	-0.470656796
1	ENSG00000142611	ENSG00000142611.16	PRDM16	3069167	3438621	817	-0.249954332
1	ENSG00000158109	ENSG00000158109.14	TPRG1L	3625001	3630127	375	-0.291797406
1	ENSG00000116213	ENSG00000116213.15	WRAP73	3630766	3652761	503	-0.52168123
1	ENSG00000078900	ENSG00000078900.14	TP73	3652519	3735600	410	-0.260431897
1	ENSG00000130764	ENSG00000130764.9	LRRC47	3778557	3796504	711	-0.231205948
1	ENSG00000116198	ENSG00000116198.12	CEP104	3812080	3857214	637	0.443640488
1	ENSG00000169598	ENSG00000169598.15	DFFB	3857266	3885429	780	-0.031096743
1	ENSG00000198912	ENSG00000198912.10	C1orf174	3889124	3900285	595	0.300764714
1	ENSG00000196581	ENSG00000196581.10	AJAP1	4654731	4792534	648	0.421150783
1	ENSG00000069424	ENSG00000069424.14	KCNAB2	5991465	6101193	764	1.10009154
1	ENSG00000116254	ENSG00000116254.17	CHD5	6101792	6180123	633	0.113416812
1	ENSG00000116251	ENSG00000116251.9	RPL22	6181268	6209389	609	-0.210323479
1	ENSG00000158286	ENSG00000158286.12	RNF207	6206175	6221192	485	0.610270866
1	ENSG00000158292	ENSG00000158292.6	GPR153	6247345	6260975	433	1.392655996
1	ENSG00000171735	ENSG00000171735.18	CAMTA1	6785323	7769706	815	-0.158004908
1	ENSG00000049245	ENSG00000049245.12	VAMP3	7771268	7781432	696	-0.034353873
1	ENSG00000049246	ENSG00000049246.14	PER3	7784319	7845177	698	0.183922179
1	ENSG00000116288	ENSG00000116288.12	PARK7	7954290	7985505	514	-0.02117327
1	ENSG00000116285	ENSG00000116285.12	ERRFI1	8004403	8026308	532	1.825627491
1	ENSG00000162426	ENSG00000162426.14	SLC45A1	8317825	8344167	685	-0.587871405
1	ENSG00000142599	ENSG00000142599.17	RERE	8352396	8817643	724	1.561099832
1	ENSG00000074800	ENSG00000074800.13	ENO1	8861001	8879249	468	0.278034477
1	ENSG00000142583	ENSG00000142583.17	SLC2A5	9035106	9088478	594	1.486716732
1	ENSG00000171621	ENSG00000171621.13	SPSB1	9292879	9369532	764	0.056841108
1	ENSG00000171612	ENSG00000171612.6	SLC25A33	9539481	9585179	248	-0.692155576
1	ENSG00000188807	ENSG00000188807.12	TMEM201	9588921	9614873	310	-0.68675409
1	ENSG00000171608	ENSG00000171608.15	PIK3CD	9651731	9729025	581	-0.535363721
1	ENSG00000171603	ENSG00000171603.16	CLSTN1	9729114	9824526	450	-0.211423289
1	ENSG00000178585	ENSG00000178585.14	CTNNBIP1	9848275	9910336	338	1.457092657
1	ENSG00000162441	ENSG00000162441.11	LZIC	9922112	9943407	396	-0.306140262
1	ENSG00000142655	ENSG00000142655.12	PEX14	10474886	10630758	668	-0.530272706
1	ENSG00000130940	ENSG00000130940.14	CASZ1	10636603	10796650	697	-0.573702607
1	ENSG00000171824	ENSG00000171824.13	EXOSC10	11066617	11098156	383	-0.111742595
1	ENSG00000198793	ENSG00000198793.12	MTOR	11106534	11262507	371	0.039520159
1	ENSG00000132879	ENSG00000132879.13	FBXO44	11654856	11663327	519	0.035067662
1	ENSG00000116663	ENSG00000116663.10	FBXO6	11664123	11674354	399	-0.327250651
1	ENSG00000116670	ENSG00000116670.14	MAD2L2	11674479	11691650	438	-0.605953773
1	ENSG00000177674	ENSG00000177674.15	AGTRAP	11736083	11754802	620	0.836465069
1	ENSG00000177000	ENSG00000177000.10	MTHFR	11785722	11806920	656	0.915774698
1	ENSG00000011021	ENSG00000011021.21	CLCN6	11807130	11843144	497	-0.045661779
1	ENSG00000175206	ENSG00000175206.10	NPPA	11845766	11848345	312	4.313914298
1	ENSG00000116688	ENSG00000116688.16	MFN2	11980180	12013514	573	1.959238954
1	ENSG00000116691	ENSG00000116691.10	MIIP	12019465	12032045	533	-0.001565915
1	ENSG00000028137	ENSG00000028137.18	TNFRSF1B	12167038	12209228	707	0.009311852
1	ENSG00000162496	ENSG00000162496.8	DHRS3	12567909	12617731	763	0.06684883
1	ENSG00000162494	ENSG00000162494.5	LRRC38	13474976	13514048	368	0.26543402
1	ENSG00000162493	ENSG00000162493.16	PDPN	13583464	13617957	693	1.303081783
1	ENSG00000116731	ENSG00000116731.22	PRDM2	13700197	13825079	672	-0.293152922
1	ENSG00000189337	ENSG00000189337.16	KAZN	13892791	15118043	826	1.47033538
1	ENSG00000171729	ENSG00000171729.13	TMEM51	15152531	15220480	731	0.841356702
1	ENSG00000142621	ENSG00000142621.19	FHAD1	15247271	15400283	607	-0.274319015
1	ENSG00000142634	ENSG00000142634.12	EFHD2	15409894	15430343	511	-0.02923147
1	ENSG00000142615	ENSG00000142615.7	CELA2A	15456727	15472091	328	0.629891151
1	ENSG00000215704	ENSG00000215704.9	CELA2B	15465908	15487437	391	0.146594412
1	ENSG00000132906	ENSG00000132906.17	CASP9	15490831	15526534	559	1.191649033
1	ENSG00000116138	ENSG00000116138.12	DNAJC16	15526812	15592379	569	-0.092533631
1	ENSG00000116771	ENSG00000116771.5	AGMAT	15572352	15585110	380	-0.387682318
1	ENSG00000197312	ENSG00000197312.11	DDI2	15617499	15669044	637	-0.460620905
1	ENSG00000116786	ENSG00000116786.11	PLEKHM2	15684331	15734769	644	0.11722864
1	ENSG00000162458	ENSG00000162458.12	FBLIM1	15756606	15786594	616	0.010388399
1	ENSG00000173641	ENSG00000173641.17	HSPB7	16014027	16019594	642	4.804656098
1	ENSG00000142632	ENSG00000142632.16	ARHGEF19	16198216	16212609	520	2.081299929
1	ENSG00000037637	ENSG00000037637.10	FBXO42	16246838	16352454	593	-0.339055037
1	ENSG00000055070	ENSG00000055070.16	SZRD1	16352574	16398145	504	-0.309764636
1	ENSG00000187144	ENSG00000187144.11	SPATA21	16387125	16437424	511	-0.304485296
1	ENSG00000157191	ENSG00000157191.19	NECAP2	16440671	16460078	598	-0.455592151
1	ENSG00000219481	ENSG00000219481.10	NBPF1	16562318	16613562	473	-0.38559553
1	ENSG00000117122	ENSG00000117122.13	MFAP2	16974501	16980835	519	1.170732775
1	ENSG00000159363	ENSG00000159363.17	ATP13A2	16985957	17011928	521	0.700049027
1	ENSG00000117115	ENSG00000117115.12	PADI2	17066760	17119435	650	3.292063875
1	ENSG00000142623	ENSG00000142623.9	PADI1	17205125	17246005	359	0.536720189
1	ENSG00000142619	ENSG00000142619.4	PADI3	17249097	17284233	97	0.154541335
1	ENSG00000159339	ENSG00000159339.13	PADI4	17308194	17364004	345	0.924297934
1	ENSG00000179051	ENSG00000179051.13	RCC2	17407004	17439724	659	-0.139261398
1	ENSG00000074964	ENSG00000074964.16	ARHGEF10L	17539834	17697869	728	0.250433475
1	ENSG00000117154	ENSG00000117154.11	IGSF21	18107745	18378482	677	-0.228242097
1	ENSG00000179023	ENSG00000179023.8	KLHDC7A	18480981	18486126	375	1.119214875
1	ENSG00000159423	ENSG00000159423.16	ALDH4A1	18871429	18902781	757	1.074173281
1	ENSG00000169991	ENSG00000169991.10	IFFO2	18904280	18956686	541	-0.398368632
1	ENSG00000127481	ENSG00000127481.14	UBR4	19076739	19210276	651	0.579765859
1	ENSG00000127463	ENSG00000127463.13	EMC1	19215663	19251538	660	-0.363646996
1	ENSG00000053372	ENSG00000053372.4	MRTO4	19251552	19260128	639	0.156486403
1	ENSG00000077549	ENSG00000077549.17	CAPZB	19338775	19485539	681	0.289193766
1	ENSG00000173436	ENSG00000173436.13	MINOS1	19596976	19629821	628	-0.134632731
1	ENSG00000158747	ENSG00000158747.13	NBL1	19640553	19658456	673	2.412976752
1	ENSG00000162542	ENSG00000162542.13	TMCO4	19682212	19799945	753	-0.383094433
1	ENSG00000169914	ENSG00000169914.5	OTUD3	19882512	19912945	579	-0.094586993
1	ENSG00000127472	ENSG00000127472.10	PLA2G5	20028178	20091190	629	1.333659438
1	ENSG00000244038	ENSG00000244038.9	DDOST	20652193	20661544	642	-0.213509844
1	ENSG00000075151	ENSG00000075151.20	EIF4G3	20806291	21176888	462	-0.09834282
1	ENSG00000117298	ENSG00000117298.14	ECE1	21217246	21345504	734	0.624438331
1	ENSG00000142794	ENSG00000142794.18	NBPF3	21440127	21485005	550	1.298635885
1	ENSG00000162551	ENSG00000162551.13	ALPL	21509371	21578412	725	2.315280284
1	ENSG00000090686	ENSG00000090686.15	USP48	21678297	21783606	752	0.187597152
1	ENSG00000187942	ENSG00000187942.11	LDLRAD2	21812264	21825221	559	0.904085107
1	ENSG00000142798	ENSG00000142798.17	HSPG2	21827862	21937297	687	1.458650255
1	ENSG00000219073	ENSG00000219073.7	CELA3B	21977020	21998642	96	2.258406357
1	ENSG00000184677	ENSG00000184677.16	ZBTB40	22451850	22531157	605	0.004457605
1	ENSG00000159189	ENSG00000159189.11	C1QC	22643629	22648110	517	-0.194581517
1	ENSG00000173369	ENSG00000173369.15	C1QB	22652761	22661538	426	-0.598200144
1	ENSG00000133216	ENSG00000133216.16	EPHB2	22710838	22921500	434	-0.726879417
1	ENSG00000204219	ENSG00000204219.9	TCEA3	23381060	23424740	744	0.802255655
1	ENSG00000007968	ENSG00000007968.6	E2F2	23506429	23531220	402	-0.581304177
1	ENSG00000117318	ENSG00000117318.8	ID3	23557917	23559794	636	0.698472379
1	ENSG00000142676	ENSG00000142676.12	RPL11	23691778	23696425	511	-0.409343897
1	ENSG00000011007	ENSG00000011007.12	ELOA	23743154	23762059	560	-0.558275878
1	ENSG00000057757	ENSG00000057757.9	PITHD1	23778404	23788232	432	-0.431583872
1	ENSG00000117305	ENSG00000117305.14	HMGCL	23801884	23838620	476	-0.430932432
1	ENSG00000179163	ENSG00000179163.11	FUCA1	23845076	23868294	472	-0.058167556
1	ENSG00000188822	ENSG00000188822.7	CNR2	23870525	23913362	264	-0.627501421
1	ENSG00000189266	ENSG00000189266.11	PNRC2	23959108	23963462	517	0.686372702
1	ENSG00000188529	ENSG00000188529.14	SRSF10	23964803	23980927	491	-0.158222498
1	ENSG00000142661	ENSG00000142661.18	MYOM3	24056034	24112175	603	1.262546496
1	ENSG00000001461	ENSG00000001461.16	NIPAL3	24419290	24472976	686	0.163499708
1	ENSG00000117602	ENSG00000117602.11	RCAN3	24502350	24541040	514	-0.359974673
1	ENSG00000169504	ENSG00000169504.14	CLIC4	24745356	24844324	449	-0.150262583
1	ENSG00000117616	ENSG00000117616.17	RSRP1	25242236	25337916	539	-0.197754221
1	ENSG00000183726	ENSG00000183726.10	TMEM50A	25338213	25362248	444	1.457003395
1	ENSG00000204178	ENSG00000204178.9	TMEM57	25430857	25500209	474	-0.217075477
1	ENSG00000157978	ENSG00000157978.11	LDLRAP1	25543579	25568886	551	1.938936867
