CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
1	ENSG00000000457.13	SCYL3	169849630	169894267	446	-0.20548039862511436
1	ENSG00000000460.16	C1orf112	169662006	169854080	478	2.0852252929374795
1	ENSG00000000938.12	FGR	27612063	27635277	167	-0.6875885928124431
1	ENSG00000000971.15	CFH	196651877	196747504	424	2.479438412041556
6	ENSG00000001036.13	FUCA2	143494810	143511690	424	-0.06357714320537917
1	ENSG00000001460.17	STPG1	24356998	24416934	420	-0.1824558717102158
1	ENSG00000001461.16	NIPAL3	24419290	24472976	459	0.3381754600100874
6	ENSG00000001561.6	ENPP4	46129992	46146699	388	2.124775069393859
3	ENSG00000001617.11	SEMA3F	50155044	50189075	391	0.10153886624430204
7	ENSG00000001630.15	CYP51A1	92112150	92142952	329	0.030646923024605907
7	ENSG00000001631.15	KRIT1	92198968	92246166	322	-0.5157404811495131
12	ENSG00000002016.17	RAD52	912076	990053	500	-0.26200399075563297
11	ENSG00000002330.13	BAD	64269829	64284669	147	-0.4045707495643027
4	ENSG00000002549.12	LAP3	17577191	17607972	271	1.4561393144634986
4	ENSG00000002587.9	HS3ST1	11393149	11429765	273	-0.2297397186952539
7	ENSG00000002726.20	AOC1	150824626	150861504	259	1.9450165504258183
7	ENSG00000002745.12	WNT16	121325366	121341104	78	-0.3827168707056717
7	ENSG00000002746.14	HECW1	43112598	43566001	386	-0.5940602465165784
7	ENSG00000002822.15	MAD1L1	1815792	2233243	495	0.6798632700080119
17	ENSG00000002834.17	LASP1	38869858	38921770	508	-0.43599058899705895
17	ENSG00000002919.14	SNX11	48103356	48123074	277	-0.238977590690632
7	ENSG00000002933.7	TMEM176A	150800533	150805120	457	5.67699812883331
12	ENSG00000003056.7	M6PR	8941467	8949955	355	-0.3775066373593501
7	ENSG00000003147.17	ICA1	8113183	8262579	514	0.2975904356526485
2	ENSG00000003400.14	CASP10	201182880	201229406	335	-0.3254697899397649
2	ENSG00000003436.15	TFPI	187464229	187565760	437	0.9376220225250792
3	ENSG00000003756.16	RBM5	50088907	50119021	344	-0.2955554701415965
8	ENSG00000003987.13	MTMR7	17298029	17413327	492	0.025674461934113026
8	ENSG00000003989.17	SLC7A2	17497087	17570573	480	2.7689601360544103
1	ENSG00000004455.16	AK2	33007939	33080996	180	-0.489800877112964
12	ENSG00000004478.7	FKBP4	2794952	2805423	172	-0.6928756207648482
1	ENSG00000004487.15	KDM1A	23019447	23083689	390	-0.4995357867863543
3	ENSG00000004534.14	RBM6	49940006	50077252	377	0.17787965186542004
17	ENSG00000004660.14	CAMKK1	3860314	3893044	523	0.7421026160304101
12	ENSG00000004700.15	RECQL	21471427	21501669	413	-0.5017514805134696
7	ENSG00000004766.15	VPS50	93232339	93361121	430	-0.3220434801831465
19	ENSG00000004776.12	HSPB6	35754871	35758079	139	3.118348845645241
19	ENSG00000004777.18	ARHGAP33	35774531	35788822	403	-0.3984183379208171
7	ENSG00000004846.16	ABCB5	20615206	20777038	266	-0.41272674263116027
7	ENSG00000004864.13	SLC25A13	96120219	96322147	394	-0.2334811995704511
7	ENSG00000004866.20	ST7	117014887	117230103	293	-0.5325613847909614
17	ENSG00000004975.11	DVL2	7225340	7234545	422	-0.5815673953137845
16	ENSG00000005001.9	PRSS22	2852726	2858170	303	-0.6188607192186026
4	ENSG00000005059.15	MCUB	109560204	109688621	413	-0.2443538688102708
17	ENSG00000005100.12	DHX33	5440911	5469060	353	-0.6113355709674418
17	ENSG00000005102.12	MEOX1	43640387	43661954	343	-0.3602953586299332
7	ENSG00000005108.15	THSD7A	11370356	11832198	535	0.010500695727903235
12	ENSG00000005175.9	RPAP3	47661248	47706061	317	-0.5580680828036468
16	ENSG00000005187.11	ACSM3	20610242	20796124	416	1.229627543949583
16	ENSG00000005189.19	AC004381.6	20806676	20849668	287	-0.6842616337594661
16	ENSG00000005194.14	CIAPIN1	57428168	57447436	298	-0.4872528135071773
19	ENSG00000005206.16	SPPL2B	2328620	2354806	424	0.3304111822554134
7	ENSG00000005249.12	PRKAR2B	107044648	107161811	417	0.059206007273409376
17	ENSG00000005379.15	TSPOAP1	58301230	58328760	387	-0.32008140536525403
2	ENSG00000005436.13	GCFC2	75651999	75710989	420	0.14296825165739996
7	ENSG00000005469.11	CROT	87345680	87399795	219	-0.4533949820330253
7	ENSG00000005483.20	KMT2E	105014321	105114361	350	-0.4138685816605203
7	ENSG00000005486.16	RHBDD2	75842601	75888926	311	-0.28348965634989354
16	ENSG00000005513.9	SOX8	981807	986979	390	0.4934249998994477
6	ENSG00000005700.14	IBTK	82169982	82247754	368	-0.08537886872494875
17	ENSG00000005882.11	PDK2	50094736	50110039	382	-0.3725232480110222
17	ENSG00000005884.17	ITGA3	50055967	50090481	398	0.6949718735394864
17	ENSG00000005961.17	ITGA2B	44372179	44389505	255	-0.5121339051872121
19	ENSG00000006015.17	C19orf60	18588724	18592336	389	-0.30338611578369995
19	ENSG00000006016.10	CRLF1	18572607	18607741	449	1.6165170290344435
17	ENSG00000006042.11	TMEM98	32927909	32945106	428	1.1175509845672689
17	ENSG00000006059.3	KRT33A	41346091	41350812	13	-0.8694623543751824
11	ENSG00000006071.12	ABCC8	17392884	17476845	438	1.3495636314496555
17	ENSG00000006125.17	AP2B1	35586898	35726409	392	0.11843230584793693
7	ENSG00000006128.11	TAC1	97731907	97740472	260	0.6199788256535205
16	ENSG00000006210.6	CX3CL1	57372457	57385048	322	0.0030515995814685264
17	ENSG00000006282.20	SPATA20	50546305	50555852	383	3.0758449028144503
17	ENSG00000006283.17	CACNA1G	50561067	50627474	273	-0.7025781885456358
14	ENSG00000006432.15	MAP3K9	70722525	70809534	411	-0.6108121995493402
7	ENSG00000006453.13	BAIAP2L1	98291650	98401068	424	4.055391713884727
7	ENSG00000006468.13	ETV1	13891227	13991425	466	-0.3969223182977432
7	ENSG00000006530.15	AGK	141551304	141655244	67	-0.8694623543751824
11	ENSG00000006534.15	ALDH3B1	68008577	68029276	356	1.7753704085751032
1	ENSG00000006555.10	TTC22	54779711	54801267	399	-0.6220638980138371
7	ENSG00000006576.16	PHTF2	77798791	77957503	313	-0.5298290839808656
7	ENSG00000006606.8	CCL26	75769532	75789896	94	0.9884555130782268
2	ENSG00000006607.13	FARP2	241356242	241491679	460	-0.2256885451044643
7	ENSG00000006625.17	GGCT	30496620	30504844	437	-0.1918057130375843
19	ENSG00000006638.11	TBXA2R	3594505	3606840	378	-0.5480558127775372
7	ENSG00000006652.13	IFRD1	112422967	112480990	439	3.5238868585908074
7	ENSG00000006704.10	GTF2IRD1	74453789	74602604	452	-0.2646918596212062
19	ENSG00000006712.14	PAF1	39385851	39391195	93	-0.4612242067813992
7	ENSG00000006715.15	VPS41	38722962	38932394	473	-0.018635365161754243
17	ENSG00000006740.16	ARHGAP44	12789538	12991643	455	-0.2353025242229056
17	ENSG00000006744.18	ELAC2	12992390	13018187	324	2.153767927527668
7	ENSG00000006747.14	SCIN	12570848	12660179	462	1.6287430371337872
2	ENSG00000007001.12	UPP2	157876701	158136154	278	-0.5690108256065203
19	ENSG00000007047.14	MARK4	45251257	45305283	421	0.8079018919614593
4	ENSG00000007062.11	PROM1	15964247	16084378	459	1.529270290636655
19	ENSG00000007080.10	CCDC124	17933015	17943991	416	-0.5774150641734759
17	ENSG00000007168.12	PAFAH1B1	2593209	2685615	409	-0.5538513463821403
17	ENSG00000007174.17	DNAH9	11598430	11969748	449	-0.5143224424595215
17	ENSG00000007216.14	SLC13A2	28473292	28497781	80	-0.11013939985074556
17	ENSG00000007237.18	GAS7	9910608	10198551	488	1.9624388284823489
17	ENSG00000007312.12	CD79B	63928739	63932354	363	1.3896803202429766
17	ENSG00000007314.12	SCN4A	63938553	63972918	393	-0.3864324850848282
