CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count_male	z_score_male	total_sample_count_female	z_score_female
1	ENSG00000000971.15	CFH	196651877	196747504	426	2.5106074959284364	208	2.4263622079312235
6	ENSG00000001561.6	ENPP4	46129992	46146699	392	2.2144154453109914	203	1.9235274615656988
2	ENSG00000003137.8	CYP26B1	72129237	72148038	258	1.5311109204839943	123	1.5429397149066628
2	ENSG00000003402.19	CFLAR	201116103	201176687	416	1.3513280180263545	224	1.2503777204634643
8	ENSG00000003989.17	SLC7A2	17497087	17570573	484	2.730595875918439	245	2.2516445126503
17	ENSG00000004660.14	CAMKK1	3860314	3893044	530	1.027000460141062	260	1.0839306853141817
7	ENSG00000004799.7	PDK4	95583498	95596491	394	5.245514798312908	193	4.831951200948172
7	ENSG00000005020.12	SKAP2	26667061	26995239	364	0.8566054480443414	182	1.0151808229699126
16	ENSG00000005187.11	ACSM3	20610242	20796124	419	1.2308585819137168	222	1.1804543185059222
17	ENSG00000006042.11	TMEM98	32927909	32945106	434	1.6090866981831606	216	1.3287766862946482
11	ENSG00000006071.12	ABCC8	17392884	17476845	462	1.7076433553901975	248	1.2845192055834955
11	ENSG00000006534.15	ALDH3B1	68008577	68029276	360	1.7252294530722436	169	1.510625175086507
11	ENSG00000006611.15	USH1C	17493894	17544416	345	1.1654757183501954	162	0.7596582676682758
7	ENSG00000006652.13	IFRD1	112422967	112480990	444	3.436600082727133	221	2.9478394919667004
7	ENSG00000006747.14	SCIN	12570848	12660179	472	1.8523182596705257	230	1.3383209082219227
16	ENSG00000007038.10	PRSS21	2817179	2826304	136	2.341067110794885	70	1.8618896539466991
4	ENSG00000007062.11	PROM1	15964247	16084378	468	1.5340033553148866	242	1.1745704559820718
17	ENSG00000007237.18	GAS7	9910608	10198551	492	2.331063156000916	252	1.929835424333725
17	ENSG00000007312.12	CD79B	63928739	63932354	363	1.2824272621825172	180	0.8897424776400183
1	ENSG00000007933.12	FMO3	171090876	171117819	386	1.6976881906672392	201	1.4598316739527468
12	ENSG00000008394.12	MGST1	16347141	16609259	501	1.444818504698291	252	1.3026436976842537
8	ENSG00000008513.14	ST3GAL1	133454847	133571940	524	1.382570040141804	265	1.096834085495976
16	ENSG00000008516.16	MMP25	3046680	3060726	467	1.5392633130881952	240	1.1092595819673332
16	ENSG00000008517.16	IL32	3065296	3082192	446	1.2147005999360192	215	0.7876414988831278
17	ENSG00000008838.19	MED24	40019096	40061215	415	0.9710954613189908	211	1.2559511066599942
12	ENSG00000010610.9	CD4	6786857	6820808	378	1.3874188901350308	200	1.2080422789146252
5	ENSG00000011083.8	SLC6A7	150189956	150222788	385	0.8918584061991662	190	0.7973142231864121
12	ENSG00000011105.12	TSPAN9	3077354	3286564	530	2.0428836044166863	266	1.9807259811013358
19	ENSG00000012124.16	CD22	35319260	35347355	421	0.9268273517371746	225	0.9190114248836604
6	ENSG00000012660.13	ELOVL5	53267397	53349179	415	1.4620008947625034	218	0.9159234166882302
10	ENSG00000012779.10	ALOX5	45374175	45446119	427	1.3268335572837444	218	1.1273848474622494
12	ENSG00000013588.7	GPRC5A	12890781	12917937	448	1.3026053406796412	236	1.7008395749850134
4	ENSG00000013810.18	TACC3	1721489	1745176	406	1.909118669030108	205	1.1253218091132344
8	ENSG00000014164.6	ZC3H3	143437654	143541453	507	2.1199995273042864	257	1.747311243183303
8	ENSG00000015592.16	STMN4	27235322	27258420	142	1.8445021605592844	62	2.001490393104162
12	ENSG00000018236.14	CNTN1	40692441	41072418	423	1.3481028762634513	205	1.5429397149066628
1	ENSG00000018625.14	ATP1A2	160115772	160143591	449	2.4157756416039957	222	2.485691155046714
2	ENSG00000019169.10	MARCO	118942165	118994660	190	0.9157301868704746	109	0.7648795375639309
11	ENSG00000019505.7	SYT13	45240300	45286319	313	1.3789323464059615	154	1.271759256599242
6	ENSG00000021355.12	SERPINB1	2832331	2842006	417	2.2182878883203907	213	2.2872316488505304
11	ENSG00000021762.19	OSBPL5	3087115	3165770	535	0.9271826922392642	271	0.8346606950043821
8	ENSG00000022567.9	SLC45A4	141207165	141308305	515	1.6630270101913478	256	1.474549763387006
22	ENSG00000025708.13	TYMP	50525751	50530056	375	1.5223121337284211	198	1.095955515038405
10	ENSG00000026103.21	FAS	88990581	89015785	449	1.6865631877734517	228	1.6753826404956718
6	ENSG00000026297.15	RNASET2	166929503	166957184	496	3.3169999041002103	249	3.338812822303797
11	ENSG00000026508.17	CD44	35138869	35232402	524	2.6461362679222185	267	2.340035256791268
6	ENSG00000026950.16	BTN3A1	26402236	26415216	362	1.811097813099208	181	1.46218487124495
2	ENSG00000035115.21	SH3YL1	217729	266398	427	2.3662506740136298	213	1.8852989226174184
10	ENSG00000035403.17	VCL	73995192	74120254	420	1.3469971133733132	206	0.9238422220015428
15	ENSG00000035664.11	DAPK2	63907035	64072033	373	1.5159140058463512	201	1.3943041801236975
5	ENSG00000037474.14	NSUN2	6599238	6633291	482	1.9155137092389198	252	1.799170481281752
19	ENSG00000037757.13	MRI1	13764531	13774167	357	0.9730107586283444	192	1.0543803058855048
5	ENSG00000038427.15	VCAN	83471464	83582303	515	1.3522110180041589	254	1.2337102237906927
5	ENSG00000039560.13	RAI14	34656236	34832627	528	1.2686471110137498	266	1.0151808229699126
13	ENSG00000041515.15	MYO16	108596151	109208007	486	1.0088657426840233	238	1.3195532785498032
9	ENSG00000041982.15	TNC	115019577	115118257	512	4.634018404261169	253	4.287485483749764
8	ENSG00000042832.11	TG	132866957	133134903	544	1.5787005123110167	271	1.2720748512285522
8	ENSG00000046889.18	PREX2	67952117	68237030	535	1.0495813433682042	271	0.7860591220905854
5	ENSG00000048162.20	NOP16	176383937	176388975	321	1.321578345876959	152	0.9099611583017448
16	ENSG00000048471.13	SNX29	11976736	12574289	545	2.188225675888801	274	1.7533900632781407
1	ENSG00000049239.12	H6PD	9234774	9271337	498	2.058100349658196	253	2.0229019173691625
2	ENSG00000049323.15	LTBP1	32946971	33399509	523	2.4999286488104437	259	2.413648862120761
11	ENSG00000050165.17	DKK3	11963105	12009769	483	2.150662376815913	250	1.9258632100649449
9	ENSG00000050555.17	LAMC3	131009081	131094473	516	1.06579046706422	265	0.9974301137251164
5	ENSG00000050767.15	COL23A1	178237617	178590555	507	2.421368987184549	249	2.6247210371426526
16	ENSG00000051108.14	HERPUD1	56932047	56944863	409	0.8387670406902692	215	0.7570112052560606
19	ENSG00000051128.18	HOMER3	18929200	18941261	397	1.6984003896548316	189	1.6772165344332437
16	ENSG00000051523.10	CYBA	88643282	88651152	472	2.2531104529858634	229	1.6642831776246059
10	ENSG00000052749.13	RRP12	97356700	97426076	429	2.8088440070306007	211	2.3795457638803743
14	ENSG00000054654.16	SYNE2	63852982	64226433	502	1.8894127256163518	250	1.5570744747950558
14	ENSG00000054983.16	GALC	87837819	87993665	446	1.2962692077511444	214	1.3185188776812222
5	ENSG00000055163.19	CYFIP2	157266078	157395533	494	1.8907623566936105	248	1.36418267086357
17	ENSG00000055483.19	USP36	78787380	78841441	439	1.1659080796347616	236	0.8636980754316931
1	ENSG00000055732.12	MCOLN3	85018081	85048499	399	1.3934973528059658	208	1.0965951336407576
3	ENSG00000055955.15	ITIH4	52812974	52830739	427	3.746460288032003	216	3.1580858890222734
3	ENSG00000056736.9	IL17RB	53846579	53865800	404	0.8425539219042382	198	0.9296546784268028
18	ENSG00000057149.15	SERPINB3	63655196	63661963	143	0.8584226108358273	46	1.1378922477491569
