CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
1	ENSG00000228794.8	LINC01128	825137	859446	414	0.3159914102395018
1	ENSG00000223764.2	RP11-54O7.3	916869	919692	492	0.9157746977895526
1	ENSG00000188976.10	NOC2L	944581	959309	532	-0.2768909279296553
1	ENSG00000187961.13	KLHL17	960586	965715	473	-0.399755874847522
1	ENSG00000187583.10	PLEKHN1	966496	975108	566	-0.3250262811665968
1	ENSG00000131591.17	C1orf159	1081817	1116361	638	-0.377294638212026
1	ENSG00000272141.1	RP11-465B22.8	1169356	1170343	297	-0.6331393360239115
1	ENSG00000078808.16	SDF4	1216907	1232031	626	-0.06805092809573421
1	ENSG00000162576.16	MXRA8	1352688	1361777	288	2.2118935578714978
1	ENSG00000221978.11	CCNL2	1386481	1399328	327	-0.6558978922833553
1	ENSG00000224870.6	RP4-758J18.2	1399521	1401907	172	-0.6475619094673961
1	ENSG00000197785.13	ATAD3A	1512150	1534687	677	-0.6536590151092356
1	ENSG00000272106.1	RP11-345P4.9	1613757	1615795	481	-0.3659888987015171
1	ENSG00000248333.8	CDK11B	1635263	1659012	457	-0.33893146147349096
1	ENSG00000189339.11	SLC35E2B	1659528	1692728	699	0.2782187469079108
1	ENSG00000269737.2	RP11-345P4.6	1671989	1674397	417	-0.6242160172027627
1	ENSG00000008128.22	CDK11A	1702729	1724324	452	0.2746148838411521
1	ENSG00000227775.3	RP1-283E3.4	1724511	1737251	595	1.1788012891670412
1	ENSG00000215790.6	SLC35E2	1724837	1745992	600	1.0946561173586735
1	ENSG00000008130.15	NADK	1751231	1780457	612	0.5524810396978489
1	ENSG00000078369.17	GNB1	1785284	1891117	531	-0.5658665866739624
1	ENSG00000067606.16	PRKCZ	2050469	2175313	643	0.17086417963242126
1	ENSG00000182873.5	PRKCZ-AS1	2181793	2184389	339	-0.4860546135790281
1	ENSG00000162585.16	FAAP20	2184460	2212720	672	-0.3928232060218469
1	ENSG00000157933.9	SKI	2228694	2310119	731	-0.029088024743844518
1	ENSG00000116151.13	MORN1	2321252	2391707	814	0.11441772748730587
1	ENSG00000269896.2	RP4-740C4.5	2350413	2352820	651	-0.18158650664586845
1	ENSG00000157916.19	RER1	2391774	2403963	709	-0.6733760782964261
1	ENSG00000157911.9	PEX10	2405444	2413797	573	-0.5656024266634259
1	ENSG00000149527.17	PLCH2	2425979	2505526	639	1.0579175569665362
1	ENSG00000157881.13	PANK4	2508532	2526628	586	-0.5954634393903169
1	ENSG00000272449.1	RP3-395M20.12	2546464	2547460	347	-0.7267904670984354
1	ENSG00000238164.6	RP3-395M20.8	2549919	2557031	465	0.3863412038225158
1	ENSG00000157870.14	FAM213B	2586490	2591469	571	-0.4706567958360855
1	ENSG00000142611.16	PRDM16	3069167	3438621	817	-0.2499543321149063
1	ENSG00000158109.14	TPRG1L	3625001	3630127	375	-0.2917974058222694
1	ENSG00000116213.15	WRAP73	3630766	3652761	503	-0.5216812296829296
1	ENSG00000078900.14	TP73	3652519	3735600	410	-0.26043189663754673
1	ENSG00000227372.11	TP73-AS1	3736201	3747336	593	-0.32776019242122273
1	ENSG00000130764.9	LRRC47	3778557	3796504	711	-0.23120594750269616
1	ENSG00000116198.12	CEP104	3812080	3857214	637	0.44364048787757576
1	ENSG00000169598.15	DFFB	3857266	3885429	780	-0.03109674334380148
1	ENSG00000198912.10	C1orf174	3889124	3900285	595	0.300764713775383
1	ENSG00000196581.10	AJAP1	4654731	4792534	648	0.4211507826948233
1	ENSG00000069424.14	KCNAB2	5991465	6101193	764	1.1000915397754745
1	ENSG00000116254.17	CHD5	6101792	6180123	633	0.11341681160518967
1	ENSG00000116251.9	RPL22	6181268	6209389	609	-0.21032347850240207
1	ENSG00000158286.12	RNF207	6206175	6221192	485	0.6102708658464314
1	ENSG00000158292.6	GPR153	6247345	6260975	433	1.3926559960176297
1	ENSG00000171735.18	CAMTA1	6785323	7769706	815	-0.1580049079272114
1	ENSG00000049245.12	VAMP3	7771268	7781432	696	-0.03435387305992413
1	ENSG00000269925.1	RP3-467L1.6	7776382	7776775	386	-0.5688729465866219
1	ENSG00000049246.14	PER3	7784319	7845177	698	0.18392217853343584
1	ENSG00000236266.1	RP3-467L1.4	7810241	7827117	664	-0.18519679444213866
1	ENSG00000116288.12	PARK7	7954290	7985505	514	-0.02117327031763753
1	ENSG00000116285.12	ERRFI1	8004403	8026308	532	1.8256274910454773
1	ENSG00000162426.14	SLC45A1	8317825	8344167	685	-0.5878714047779374
1	ENSG00000142599.17	RERE	8352396	8817643	724	1.5610998320861884
1	ENSG00000232912.5	RP5-1115A15.1	8424644	8434838	389	-0.7951170708822562
1	ENSG00000074800.13	ENO1	8861001	8879249	468	0.2780344769863977
1	ENSG00000142583.17	SLC2A5	9035106	9088478	594	1.4867167315602825
1	ENSG00000228526.6	MIR34AHG	9148010	9196983	708	-0.6636223005731071
1	ENSG00000234546.3	LINC01759	9183750	9196284	615	-0.7614087794490889
1	ENSG00000171621.13	SPSB1	9292879	9369532	764	0.0568411081637421
1	ENSG00000171612.6	SLC25A33	9539481	9585179	248	-0.6921555760660417
1	ENSG00000188807.12	TMEM201	9588921	9614873	310	-0.6867540896893044
1	ENSG00000171608.15	PIK3CD	9651731	9729025	581	-0.5353637210855333
1	ENSG00000171603.16	CLSTN1	9729114	9824526	450	-0.2114232885364176
1	ENSG00000178585.14	CTNNBIP1	9848275	9910336	338	1.4570926570919651
1	ENSG00000162441.11	LZIC	9922112	9943407	396	-0.30614026176890285
1	ENSG00000142655.12	PEX14	10474886	10630758	668	-0.5302727059129254
1	ENSG00000130940.14	CASZ1	10636603	10796650	697	-0.5737026072447643
1	ENSG00000272078.1	RP4-734G22.3	10640059	10654333	587	-0.6187708165183751
1	ENSG00000171824.13	EXOSC10	11066617	11098156	383	-0.11174259477459096
1	ENSG00000226849.1	RP4-635E18.7	11068470	11073097	365	-0.20224816099237056
1	ENSG00000198793.12	MTOR	11106534	11262507	371	0.039520159413568914
1	ENSG00000225602.5	MTOR-AS1	11143897	11149537	304	-0.44056002641274944
1	ENSG00000132879.13	FBXO44	11654856	11663327	519	0.03506766203515735
1	ENSG00000116663.10	FBXO6	11664123	11674354	399	-0.3272506505398381
1	ENSG00000116670.14	MAD2L2	11674479	11691650	438	-0.6059537729304388
1	ENSG00000177674.15	AGTRAP	11736083	11754802	620	0.8364650685506285
1	ENSG00000177000.10	MTHFR	11785722	11806920	656	0.9157746977895526
1	ENSG00000011021.21	CLCN6	11807130	11843144	497	-0.04566177904346374
1	ENSG00000242349.5	NPPA-AS1	11843703	11848079	348	4.00744800194699
1	ENSG00000175206.10	NPPA	11845766	11848345	312	4.313914297963997
1	ENSG00000116688.16	MFN2	11980180	12013514	573	1.95923895404396
1	ENSG00000116691.10	MIIP	12019465	12032045	533	-0.001565915385428668
1	ENSG00000028137.18	TNFRSF1B	12167038	12209228	707	0.009311852052967957
1	ENSG00000162496.8	DHRS3	12567909	12617731	763	0.06684883007012468
1	ENSG00000162494.5	LRRC38	13474976	13514048	368	0.2654340196359821
1	ENSG00000162493.16	PDPN	13583464	13617957	693	1.3030817834564845
1	ENSG00000116731.22	PRDM2	13700197	13825079	672	-0.2931529216891935
1	ENSG00000189337.16	KAZN	13892791	15118043	826	1.470335380257535
1	ENSG00000175147.11	TMEM51-AS1	15111814	15152464	680	1.945676182738281
1	ENSG00000171729.13	TMEM51	15152531	15220480	731	0.8413567019041169
1	ENSG00000142621.19	FHAD1	15247271	15400283	607	-0.2743190145838304
1	ENSG00000142634.12	EFHD2	15409894	15430343	511	-0.029231470161769944
1	ENSG00000142615.7	CELA2A	15456727	15472091	328	0.6298911505329658
1	ENSG00000215704.9	CELA2B	15465908	15487437	391	0.1465944120761788
1	ENSG00000132906.17	CASP9	15490831	15526534	559	1.1916490331948348
1	ENSG00000116138.12	DNAJC16	15526812	15592379	569	-0.09253363057111257
1	ENSG00000116771.5	AGMAT	15572352	15585110	380	-0.3876823176720575
1	ENSG00000197312.11	DDI2	15617499	15669044	637	-0.4606209049250475
1	ENSG00000116786.11	PLEKHM2	15684331	15734769	644	0.11722864032394943
1	ENSG00000237938.5	RP11-288I21.1	15720311	15736896	629	0.0664999310132288
1	ENSG00000162458.12	FBLIM1	15756606	15786594	616	0.010388398778433009
1	ENSG00000173641.17	HSPB7	16014027	16019594	642	4.804656097631487
1	ENSG00000142632.16	ARHGEF19	16198216	16212609	520	2.0812999289125593
1	ENSG00000037637.10	FBXO42	16246838	16352454	593	-0.33905503745858245
1	ENSG00000055070.16	SZRD1	16352574	16398145	504	-0.3097646357446357
1	ENSG00000187144.11	SPATA21	16387125	16437424	511	-0.3044852964831801
1	ENSG00000157191.19	NECAP2	16440671	16460078	598	-0.4555921509711401
1	ENSG00000080947.14	CROCCP3	16467435	16499257	727	-0.3100022723693628
1	ENSG00000219481.10	NBPF1	16562318	16613562	473	-0.38559553001210056
1	ENSG00000215908.10	CROCCP2	16618252	16657232	237	0.10792534906207926
1	ENSG00000186301.8	MST1P2	16645621	16650289	236	0.14049728150050408
1	ENSG00000238142.1	RP11-108M9.4	16888537	16889649	414	-0.1855379045474154
1	ENSG00000117122.13	MFAP2	16974501	16980835	519	1.1707327746162357
1	ENSG00000226526.1	RP1-37C10.3	16978925	17005091	520	0.7030899049404215
1	ENSG00000159363.17	ATP13A2	16985957	17011928	521	0.700049026813373
1	ENSG00000117115.12	PADI2	17066760	17119435	650	3.2920638752058387
1	ENSG00000142623.9	PADI1	17205125	17246005	359	0.5367201894493429
1	ENSG00000142619.4	PADI3	17249097	17284233	97	0.15454133484417903
1	ENSG00000159339.13	PADI4	17308194	17364004	345	0.9242979339810532
1	ENSG00000179051.13	RCC2	17407004	17439724	659	-0.13926139770061235
1	ENSG00000074964.16	ARHGEF10L	17539834	17697869	728	0.2504334751712014
1	ENSG00000117154.11	IGSF21	18107745	18378482	677	-0.22824209692956726
1	ENSG00000179023.8	KLHDC7A	18480981	18486126	375	1.1192148754182398
1	ENSG00000159423.16	ALDH4A1	18871429	18902781	757	1.0741732814365308
1	ENSG00000169991.10	IFFO2	18904280	18956686	541	-0.3983686321926656
1	ENSG00000272084.1	RP5-1126H10.2	19072109	19075511	570	-0.3171787060178015
1	ENSG00000127481.14	UBR4	19076739	19210276	651	0.5797658588371105
1	ENSG00000230424.1	RP1-43E13.2	19210500	19240296	644	-0.4443917444374372
1	ENSG00000127463.13	EMC1	19215663	19251538	660	-0.3636469955171975
1	ENSG00000053372.4	MRTO4	19251552	19260128	639	0.1564864032650165
1	ENSG00000077549.17	CAPZB	19338775	19485539	681	0.28919376602181235
1	ENSG00000173436.13	MINOS1	19596976	19629821	628	-0.13463273061999867
1	ENSG00000158747.13	NBL1	19640553	19658456	673	2.4129767521123084
1	ENSG00000162542.13	TMCO4	19682212	19799945	753	-0.3830944332483409
1	ENSG00000169914.5	OTUD3	19882512	19912945	579	-0.09458699253942524
1	ENSG00000127472.10	PLA2G5	20028178	20091190	629	1.3336594377721531
1	ENSG00000244038.9	DDOST	20652193	20661544	642	-0.2135098440215124
1	ENSG00000075151.20	EIF4G3	20806291	21176888	462	-0.09834282049355256
1	ENSG00000117298.14	ECE1	21217246	21345504	734	0.6244383308305239
1	ENSG00000142794.18	NBPF3	21440127	21485005	550	1.298635884712919
1	ENSG00000162551.13	ALPL	21509371	21578412	725	2.315280283610761
1	ENSG00000090686.15	USP48	21678297	21783606	752	0.18759715188979692
1	ENSG00000187942.11	LDLRAD2	21812264	21825221	559	0.904085107306278
1	ENSG00000142798.17	HSPG2	21827862	21937297	687	1.4586502547758589
1	ENSG00000219073.7	CELA3B	21977020	21998642	96	2.258406357226736
1	ENSG00000184677.16	ZBTB40	22451850	22531157	605	0.004457604999961167
1	ENSG00000159189.11	C1QC	22643629	22648110	517	-0.1945815167002462
1	ENSG00000173369.15	C1QB	22652761	22661538	426	-0.5982001440199766
1	ENSG00000133216.16	EPHB2	22710838	22921500	434	-0.7268794170593533
1	ENSG00000204219.9	TCEA3	23381060	23424740	744	0.8022556548312918
1	ENSG00000007968.6	E2F2	23506429	23531220	402	-0.581304176543447
1	ENSG00000117318.8	ID3	23557917	23559794	636	0.6984723788505837
1	ENSG00000142676.12	RPL11	23691778	23696425	511	-0.4093438969865745
1	ENSG00000011007.12	ELOA	23743154	23762059	560	-0.5582758780140518
1	ENSG00000057757.9	PITHD1	23778404	23788232	432	-0.4315838721512121
1	ENSG00000117305.14	HMGCL	23801884	23838620	476	-0.4309324323843321
1	ENSG00000179163.11	FUCA1	23845076	23868294	472	-0.0581675564235646
1	ENSG00000188822.7	CNR2	23870525	23913362	264	-0.6275014209505493
1	ENSG00000189266.11	PNRC2	23959108	23963462	517	0.6863727024225649
